DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER
2005-01-01,44.62,388
2005-01-02,44.62,388
2005-01-03,44.47,386
2005-01-04,44.42,386
2005-01-05,44.35,385
2005-01-06,44.26,385
2005-01-07,44.16,384
2005-01-08,44.01,382
2005-01-09,43.85,381
2005-01-10,43.67,379
2005-01-11,43.52,378
2005-01-12,43.35,377
2005-01-13,43.15,375
2005-01-14,42.93,373
2005-01-15,42.75,371
2005-01-16,42.91,373
2005-01-17,44.46,386
2005-01-18,47.08,409
2005-01-19,48.18,419
2005-01-20,48.36,420
2005-01-21,48.38,420
2005-01-22,48.41,421
2005-01-23,48.8,424
2005-01-24,48.9,425
2005-01-25,48.87,424
2005-01-26,49.4,429
2005-01-27,49.64,431
2005-01-28,50.17,436
2005-01-29,53.13,461
2005-01-30,55.05,478
2005-01-31,56.28,489
2005-02-01,56.69,492
2005-02-02,56.89,494
2005-02-03,58.21,506
2005-02-04,62.87,546
2005-02-05,66.46,577
2005-02-06,67.64,588
2005-02-07,68.3,593
2005-02-08,68.84,598
2005-02-09,69.12,600
2005-02-10,69.28,602
2005-02-11,69.6,605
2005-02-12,69.78,606
2005-02-13,70.13,609
2005-02-14,71.29,619
2005-02-15,74.45,647
2005-02-16,76.76,667
2005-02-17,77.69,675
2005-02-18,78.34,681
2005-02-19,79.08,687
2005-02-20,79.56,691
2005-02-21,79.93,694
2005-02-22,80.19,697
2005-02-23,80.29,697
2005-02-24,80.4,698
2005-02-25,80.49,699
2005-02-26,80.51,699
2005-02-27,80.59,700
2005-02-28,81.64,709
2005-03-01,82.37,715
2005-03-02,83.34,724
2005-03-03,86.04,747
2005-03-04,88.41,768
2005-03-05,89.28,776
2005-03-06,90.2,784
2005-03-07,91.91,798
2005-03-08,92.84,806
2005-03-09,93.26,810
2005-03-10,93.54,813
2005-03-11,93.84,815
2005-03-12,93.99,816
2005-03-13,94.04,817
2005-03-14,94.19,818
2005-03-15,94.5,821
2005-03-16,94.75,823
2005-03-17,94.79,823
2005-03-18,94.88,824
2005-03-19,94.99,825
2005-03-20,95.03,826
2005-03-21,95.04,826
2005-03-22,95.03,826
2005-03-23,94.96,825
2005-03-24,94.9,824
2005-03-25,94.86,824
2005-03-26,94.78,823
2005-03-27,94.66,822
2005-03-28,94.46,821
2005-03-29,94.38,820
2005-03-30,94.36,820
2005-03-31,94.33,819
2005-04-01,94.24,819
2005-04-02,94.14,818
2005-04-03,94,817
2005-04-04,93.93,816
2005-04-05,93.88,816
2005-04-06,93.71,814
2005-04-07,93.61,813
2005-04-08,93.44,812
2005-04-09,93.3,811
2005-04-10,93.21,810
2005-04-11,93.05,808
2005-04-12,92.91,807
2005-04-13,92.71,805
2005-04-14,92.62,805
2005-04-15,92.47,803
2005-04-16,92.4,803
2005-04-17,92.26,801
2005-04-18,92.09,800
2005-04-19,91.94,799
2005-04-20,91.85,798
2005-04-21,91.65,796
2005-04-22,91.46,794
2005-04-23,91.28,793
2005-04-24,91.15,792
2005-04-25,90.95,790
2005-04-26,90.77,789
2005-04-27,90.52,786
2005-04-28,90.28,784
2005-04-29,90.07,782
2005-04-30,90.06,782
2005-05-01,90.03,782
2005-05-02,89.89,781
2005-05-03,89.67,779
2005-05-04,89.55,778
2005-05-05,89.39,777
2005-05-06,89.26,775
2005-05-07,89.09,774
2005-05-08,88.95,773
2005-05-09,88.79,771
2005-05-10,88.56,769
2005-05-11,88.33,767
2005-05-12,88.16,766
2005-05-13,87.94,764
2005-05-14,87.66,762
2005-05-15,87.46,760
2005-05-16,87.21,758
2005-05-17,86.92,755
2005-05-18,86.71,753
2005-05-19,86.43,751
2005-05-20,86.17,749
2005-05-21,85.95,747
2005-05-22,85.89,746
2005-05-23,87.08,756
2005-05-24,87.16,757
2005-05-25,87.01,756
2005-05-26,86.94,755
2005-05-27,86.92,755
2005-05-28,86.77,754
2005-05-29,86.61,752
2005-05-30,86.48,751
2005-05-31,86.33,750
2005-06-01,86.15,748
2005-06-02,86.1,748
2005-06-03,85.97,747
2005-06-04,85.82,746
2005-06-05,85.61,744
2005-06-06,85.42,742
2005-06-07,85.17,740
2005-06-08,84.95,738
2005-06-09,84.73,736
