"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"TU000017062","ISTANBUL, TU","2007-04-19",,,"11.8","14.8",
"TU000017062","ISTANBUL, TU","2007-04-20","0.3",,"13.1","17.6","6.0"
"TU000017062","ISTANBUL, TU","2007-04-21","0.0",,"14.3","21.0","6.9"
"TU000017062","ISTANBUL, TU","2007-04-22","0.0",,"14.4","22.2","9.3"
"TU000017062","ISTANBUL, TU","2007-04-23","0.0",,"12.8","17.7","8.6"
"TU000017062","ISTANBUL, TU","2007-04-24","0.0",,"12.6","18.5","7.1"
"TU000017062","ISTANBUL, TU","2007-04-25","0.0",,"13.1","18.5","8.3"
"TU000017062","ISTANBUL, TU","2007-04-29","0.0",,"12.9","19.9","9.1"
"TU000017062","ISTANBUL, TU","2007-04-30","0.0",,"14.0","20.4","10.2"
"TU000017062","ISTANBUL, TU","2007-05-01","0.5",,"16.1","23.1","10.4"
"TU000017062","ISTANBUL, TU","2007-05-02",,,"12.8","14.8",
"TU000017062","ISTANBUL, TU","2007-05-03",,,"13.1",,"9.5"
"TU000017062","ISTANBUL, TU","2007-05-04",,,"17.3","22.8",
"TU000017062","ISTANBUL, TU","2007-05-05","0.0",,"16.3","23.0","9.0"
"TU000017062","ISTANBUL, TU","2007-05-06","0.0",,"20.4","30.1","13.7"
"TU000017062","ISTANBUL, TU","2007-05-07","0.0",,"20.2","28.6","13.4"
"TU000017062","ISTANBUL, TU","2007-05-08","0.0",,"19.5","25.3","15.9"
"TU000017062","ISTANBUL, TU","2007-05-09",,,"18.6",,"14.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-18",,,"13.0","18.4",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-19","0.0",,"8.3","11.8","6.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-20","0.0",,"12.4","18.3","6.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-21","0.0",,"11.9","18.3","8.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-22","0.0",,"9.1","11.5","7.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2014-02-23","0.0",,"9.9","13.1",
