DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,DateTime,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure
2009-01-01,34.51,300,01.01.2009,Partly cloudy,0.23,5,2,08:29:00,17:47:00,11:9:00,22:39:00,10,90,1027
2009-01-02,34.87,303,01.02.2009,Cloudy,0.02,7,3,08:15:00,18:21:00,10:44:00,,15,86,1019
2009-01-03,35.28,306,01.03.2009,Partly cloudy,0.26,8,1,07:39:00,18:55:00,9:17:00,12:0:00,11,84,1020
2009-01-04,35.88,312,01.04.2009,Sunny,0.0,17,9,06:48:00,19:29:00,10:17:00,1:22:00,17,69,1017
2009-01-05,37.32,324,01.05.2009,Partly cloudy,2.23,20,10,06:02:00,20:1:00,11:45:00,1:49:00,10,75,1007
2009-01-06,39.66,345,01.06.2009,Sunny,0.0,25,15,05:35:00,20:30:00,14:20:00,1:46:00,11,67,1017
2009-01-07,42.56,370,01.07.2009,Sunny,0.0,30,20,05:36:00,20:40:00,15:33:00,1:4:00,14,60,1014
2009-01-08,44.28,385,01.08.2009,Sunny,0.83,29,20,06:00:00,20:20:00,17:28:00,1:29:00,13,70,1013
2009-01-09,45.06,391,01.09.2009,Sunny,4.25,24,19,06:30:00,19:37:00,18:0:00,3:7:00,17,76,1018
2009-01-10,45.66,397,01.10.2009,Sunny,0.0,25,15,07:01:00,18:46:00,17:15:00,4:1:00,5,59,1017
2009-01-11,46.05,400,01.11.2009,Overcast,2.92,11,8,07:35:00,18:0:00,16:52:00,6:1:00,31,86,1016
2009-01-12,46.45,403,01.12.2009,Sunny,0.0,17,9,08:10:00,17:37:00,16:37:00,7:11:00,11,59,1020
2009-01-13,46.69,406,13.01.2009,Partly cloudy,0.0,9,1,08:28:00,17:58:00,21:1:00,9:57:00,8,66,1031
2009-01-14,46.85,407,14.01.2009,Partly cloudy,0.91,8,3,08:27:00,17:59:00,22:14:00,10:23:00,11,73,1025
2009-01-15,47.07,409,15.01.2009,Partly cloudy,0.0,15,7,08:27:00,18:1:00,23:24:00,10:48:00,12,75,1022
2009-01-16,47.26,411,16.01.2009,Partly cloudy,0.0,13,7,08:26:00,18:2:00,,11:11:00,8,80,1016
2009-01-17,47.61,414,17.01.2009,Overcast,1.2,5,3,08:26:00,18:3:00,12:31:00,11:35:00,15,87,1022
2009-01-18,47.97,417,18.01.2009,Sunny,0.0,7,1,08:25:00,18:4:00,1:37:00,0:0:00,11,80,1023
2009-01-19,48.19,419,19.01.2009,Partly cloudy,0.05,9,3,08:25:00,18:5:00,2:41:00,0:28:00,15,80,1016
2009-01-20,48.36,420,20.01.2009,Sunny,0.0,14,6,08:24:00,18:6:00,3:45:00,13:2:00,11,80,1017
2009-01-21,48.54,422,21.01.2009,Sunny,0.0,15,7,08:24:00,18:7:00,4:46:00,13:42:00,10,72,1019
2009-01-22,48.67,423,22.01.2009,Sunny,0.0,16,8,08:23:00,18:9:00,5:43:00,14:28:00,9,70,1016
